City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,fort bragg,35.139,-79.006,42.82,63,0,8.05,US,1704726703
1,ilulissat,69.2167,-51.1,15.82,67,75,14.97,GL,1704726703
2,itamaraca,-7.7478,-34.8256,89.65,60,7,11.43,BR,1704726703
3,adamstown,-25.066,-130.1015,73.98,82,100,12.5,PN,1704726704
4,ushuaia,-54.8,-68.3,49.62,89,100,6.35,AR,1704726704
5,uttaradit,17.6667,100.5,71.02,62,3,2.13,TH,1704726704
6,papatowai,-46.5619,169.4708,56.62,77,100,5.01,NZ,1704726704
7,chernyshevskiy,63.0128,112.4714,-39.21,100,38,1.72,RU,1704726705
8,olonkinbyen,70.9221,-8.7187,34.93,97,100,18.45,SJ,1704726705
9,blackmans bay,-43.0167,147.3167,57.33,75,100,6.96,AU,1704726705
10,port-aux-francais,-49.35,70.2167,45.55,89,97,30.44,TF,1704726706
11,callao,-12.0667,-77.15,79.09,69,0,13.8,PE,1704726706
12,invercargill,-46.4,168.35,58.01,92,100,5.08,NZ,1704726661
13,onokhoy,51.932,108.0747,-9.65,98,18,0.4,RU,1704726706
14,vadso,70.0744,29.7487,19.56,86,40,6.91,NO,1704726707
15,tarauaca,-8.1614,-70.7656,90.86,53,97,3.4,BR,1704726707
16,saipan,15.1355,145.701,79.5,89,40,10.36,MP,1704726707
17,margaret river,-33.95,115.0667,62.64,82,92,15.95,AU,1704726707
18,luganville,-15.5333,167.1667,78.84,85,19,2.53,VU,1704726713
19,fabero,42.7738,-6.6182,43.36,73,100,2.62,ES,1704726713
20,moanda,-1.5575,13.2178,88.03,72,78,3.56,GA,1704726713
21,yellowknife,62.456,-114.3525,-24.59,81,100,3.0,CA,1704726714
22,isafjordur,66.0755,-23.124,48.24,66,100,13.8,IS,1704726714
23,puerto ayora,-0.7393,-90.3518,82.36,98,45,1.01,EC,1704726714
24,anadyr,64.75,177.4833,5.5,85,100,13.42,RU,1704726715
25,albany,42.6001,-73.9662,32.67,76,8,7.0,US,1704726643
26,port mathurin,-19.6833,63.4167,82.29,65,92,6.73,MU,1704726715
27,koupela,12.1794,-0.3517,96.51,7,0,10.4,BF,1704726715
28,iqaluit,63.7506,-68.5145,-11.31,63,40,3.44,CA,1704726716
29,castillos,-34.1667,-53.8333,78.1,59,45,6.82,UY,1704726716
30,la passe,45.5549,-0.8967,35.83,61,6,11.52,FR,1704726716
31,edinburgh of the seven seas,-37.0676,-12.3116,62.62,94,100,29.95,SH,1704726716
32,alice springs,-23.7,133.8833,83.75,41,44,5.99,AU,1704726717
33,waitangi,-43.9535,-176.5597,57.81,91,100,1.99,NZ,1704726717
34,hamilton,39.1834,-84.5333,38.44,86,75,8.05,US,1704726578
35,leava,-14.3,-178.1667,82.42,79,100,9.86,WF,1704726718
36,ilha de mocambique,-15.0342,40.7358,83.52,77,87,11.97,MZ,1704726718
37,kailua-kona,19.6406,-155.9956,71.56,78,40,5.75,US,1704726718
38,kenai,60.5544,-151.2583,24.89,99,0,6.91,US,1704726718
39,sitka,57.0531,-135.33,37.29,87,100,5.75,US,1704726719
40,bethel,41.3712,-73.414,37.36,68,0,6.91,US,1704726719
41,baskale,38.0453,44.0172,23.76,69,97,7.07,TR,1704726719
42,kavalerovo,44.2661,135.0572,7.39,57,75,8.01,RU,1704726720
43,lihue,21.9789,-159.3672,71.19,89,100,14.97,US,1704726720
44,dunedin,-45.8742,170.5036,54.81,91,100,4.0,NZ,1704726641
45,atafu village,-8.5421,-172.5159,84.07,68,25,6.8,TK,1704726720
46,college,64.8569,-147.8028,20.07,82,100,4.61,US,1704726687
47,tazovsky,67.4667,78.7,-6.27,98,100,12.8,RU,1704726721
48,broome,42.2506,-75.833,33.71,90,100,5.75,US,1704726721
49,luanda,-8.8368,13.2343,81.3,62,43,10.56,AO,1704726490
50,beltran,-27.8291,-64.061,88.27,52,62,6.73,AR,1704726722
51,myeik,12.4333,98.6,77.63,75,92,5.37,MM,1704726722
52,vila franca do campo,37.7167,-25.4333,64.89,99,79,9.57,PT,1704726723
53,puerto natales,-51.7236,-72.4875,57.65,44,40,37.98,CL,1704726723
54,west island,-12.1568,96.8225,80.58,89,40,14.97,CC,1704726723
55,las trojes,14.0667,-85.9833,68.83,81,86,4.56,HN,1704726723
56,sanchor,24.7553,71.7722,67.69,29,11,9.69,IN,1704726724
57,grytviken,-54.2811,-36.5092,41.43,84,50,8.14,GS,1704726724
58,paracuru,-3.41,-39.0306,85.1,60,100,9.13,BR,1704726525
59,motueka,-41.1333,173.0167,59.09,72,27,3.38,NZ,1704726724
60,itapecerica,-20.4725,-45.1256,83.3,58,89,6.73,BR,1704726725
61,massenya,11.4039,16.1705,92.17,8,2,3.24,TD,1704726725
62,dongola,19.1667,30.4833,85.95,28,5,9.51,SD,1704726726
63,udachny,66.4167,112.4,-31.45,100,74,3.62,RU,1704726726
64,buka,40.8108,69.1986,49.35,72,81,3.29,UZ,1704726726
65,minab,27.1467,57.0801,71.53,25,0,4.09,IR,1704726727
66,trincomalee,8.5711,81.2335,79.93,85,100,12.93,LK,1704726727
67,carnarvon,-24.8667,113.6333,73.81,81,0,15.9,AU,1704726674
68,crane,31.3974,-102.3501,41.45,30,25,24.83,US,1704726728
69,mount pleasant,32.7941,-79.8626,46.99,67,0,3.0,US,1704726584
70,kajaani,64.2273,27.7285,15.85,92,100,2.3,FI,1704726728
71,pacific grove,36.6177,-121.9166,42.17,89,0,6.91,US,1704726729
72,mhamid,29.82,-5.72,70.74,18,1,5.01,MA,1704726729
73,vorgashor,67.5833,63.95,-19.71,100,100,0.27,RU,1704726729
74,'ain el turk,35.7438,-0.7693,65.08,36,20,9.22,DZ,1704726730
75,feijo,-8.1642,-70.3536,90.05,57,99,3.38,BR,1704726730
76,keflavik,64.0049,-22.5624,46.31,93,100,31.07,IS,1704726730
77,nemuro,43.3236,145.575,26.11,62,71,11.23,JP,1704726730
78,mount gambier,-37.8333,140.7667,53.67,95,34,5.03,AU,1704726731
79,el fasher,13.6279,25.3494,82.2,12,4,8.21,SD,1704726731
80,nova sintra,14.8667,-24.7167,70.7,66,87,16.37,CV,1704726732
81,nuuk,64.1835,-51.7216,23.61,74,75,20.71,GL,1704726732
82,smara,26.7384,-11.6719,73.92,29,14,3.8,EH,1704726733
83,sinop,41.7711,34.8709,47.39,85,83,4.16,TR,1704726733
84,namibe,-15.1961,12.1522,77.67,71,60,12.95,AO,1704726734
85,talnakh,69.4865,88.3972,-14.26,96,100,9.4,RU,1704726734
86,hawaiian paradise park,19.5933,-154.9731,71.04,94,0,4.61,US,1704726734
87,sungai penuh,-2.0833,101.3833,66.69,98,100,1.25,ID,1704726735
88,fale old settlement,-9.3852,-171.2468,83.7,72,79,6.02,TK,1704726735
89,weno,7.4515,151.8468,82.35,71,100,23.02,FM,1704726735
90,severnoye,56.3491,78.3619,9.05,89,100,20.54,RU,1704726736
91,ust-nera,64.5667,143.2,-43.53,99,97,4.03,RU,1704726736
92,anshun,26.25,105.9333,46.85,93,100,2.59,CN,1704726736
93,stanley,54.868,-1.6985,36.28,80,75,5.75,GB,1704726739
94,constantia,44.1833,28.65,25.7,80,100,22.79,RO,1704726740
95,yuzhno-kurilsk,44.0306,145.8556,23.38,67,61,12.1,RU,1704726741
96,avarua,-21.2078,-159.775,77.05,94,40,11.5,CK,1704726745
97,kudahuvadhoo,2.6708,72.8944,82.71,74,100,11.18,MV,1704726747
98,whitehorse,60.7161,-135.0538,10.02,83,40,21.85,CA,1704726752
99,el calafate,-50.3408,-72.2768,50.76,47,16,8.97,AR,1704726749
100,tiksi,71.6872,128.8694,-32.39,97,73,9.46,RU,1704726753
101,bilibino,68.0546,166.4372,-23.73,99,100,3.24,RU,1704726755
